dataset,algorithm,n,repetitions,avg_us,median_us,avg_char_comparisons,avg_char_inspections
random,msd_radix_sort_with_switch,2700,7,1926.714,1847.200,12061.000,19495.000
random,standard_quicksort,2800,7,863027.614,859050.000,436883.000,873766.000
random,standard_mergesort,2800,7,3607.129,3185.800,40961.000,81922.000
random,ternary_string_quicksort,2800,7,1966.914,1721.000,30129.000,32291.000
random,lcp_string_mergesort,2800,7,101110.543,80821.100,25835.000,51670.000
random,msd_radix_sort,2800,7,348400.757,339127.500,0.000,13414.000
random,msd_radix_sort_with_switch,2800,7,2180.014,1835.300,12853.000,20561.000
random,standard_quicksort,2900,7,794351.800,785182.900,450748.000,901496.000
random,standard_mergesort,2900,7,4319.014,3398.200,42708.000,85416.000
random,ternary_string_quicksort,2900,7,2009.029,1904.500,33712.000,35973.000
random,lcp_string_mergesort,2900,7,92704.000,87343.300,26922.000,53844.000
random,msd_radix_sort,2900,7,343464.143,335556.200,0.000,13960.000
random,msd_radix_sort_with_switch,2900,7,2013.629,2038.800,13179.000,21171.000
random,standard_quicksort,3000,7,783992.500,773652.600,478584.000,957168.000
random,standard_mergesort,3000,7,3424.757,3057.100,44467.000,88934.000
random,ternary_string_quicksort,3000,7,2004.214,1643.400,34858.000,37224.000
random,lcp_string_mergesort,3000,7,94725.400,96188.000,27939.000,55878.000
random,msd_radix_sort,3000,7,330412.429,336215.100,0.000,14484.000
random,msd_radix_sort_with_switch,3000,7,1982.657,1796.200,13902.000,22182.000
reversed,standard_quicksort,100,7,189.129,187.000,13416.000,26832.000
reversed,standard_mergesort,100,7,75.200,53.200,683.000,1366.000
reversed,ternary_string_quicksort,100,7,28.643,26.500,561.000,639.000
reversed,lcp_string_mergesort,100,7,667.529,669.700,371.000,742.000
reversed,msd_radix_sort,100,7,125.200,118.800,0.000,496.000
reversed,msd_radix_sort_with_switch,100,7,94.714,57.500,349.000,622.000
reversed,standard_quicksort,200,7,521.057,434.500,27732.000,55464.000
reversed,standard_mergesort,200,7,164.029,100.700,1494.000,2988.000
reversed,ternary_string_quicksort,200,7,57.843,55.000,1229.000,1383.000
reversed,lcp_string_mergesort,200,7,1028.414,847.500,771.000,1542.000
reversed,msd_radix_sort,200,7,323.771,250.500,0.000,994.000
reversed,msd_radix_sort_with_switch,200,7,76.757,68.800,730.000,1280.000
reversed,standard_quicksort,300,7,1433.200,709.700,41930.000,83860.000
reversed,standard_mergesort,300,7,147.200,146.100,2297.000,4594.000
reversed,ternary_string_quicksort,300,7,102.943,86.000,1976.000,2203.000
reversed,lcp_string_mergesort,300,7,1569.929,1467.300,1156.000,2312.000
reversed,msd_radix_sort,300,7,552.371,555.400,0.000,1456.000
reversed,msd_radix_sort_with_switch,300,7,129.943,119.000,1073.000,1891.000
reversed,standard_quicksort,400,7,982.071,980.000,57471.000,114942.000
reversed,standard_mergesort,400,7,266.186,236.400,3144.000,6288.000
reversed,ternary_string_quicksort,400,7,154.929,146.800,2797.000,3104.000
reversed,lcp_string_mergesort,400,7,2849.086,1771.600,1564.000,3128.000
reversed,msd_radix_sort,400,7,586.929,587.500,0.000,1924.000
reversed,msd_radix_sort_with_switch,400,7,174.271,141.400,1460.000,2551.000
reversed,standard_quicksort,500,7,1364.429,1166.100,59579.000,119158.000
reversed,standard_mergesort,500,7,405.514,342.000,3859.000,7718.000
reversed,ternary_string_quicksort,500,7,238.886,235.400,3645.000,4036.000
reversed,lcp_string_mergesort,500,7,3124.043,2878.400,1904.000,3808.000
reversed,msd_radix_sort,500,7,908.857,732.500,0.000,2404.000
reversed,msd_radix_sort_with_switch,500,7,253.443,221.300,1812.000,3177.000
reversed,standard_quicksort,600,7,1918.386,1766.100,80823.000,161646.000
reversed,standard_mergesort,600,7,472.114,496.100,4891.000,9782.000
reversed,ternary_string_quicksort,600,7,238.929,231.900,4472.000,4931.000
reversed,lcp_string_mergesort,600,7,3792.643,3295.800,2352.000,4704.000
reversed,msd_radix_sort,600,7,1128.343,899.100,0.000,2880.000
reversed,msd_radix_sort_with_switch,600,7,314.800,210.300,2170.000,3805.000
reversed,standard_quicksort,700,7,2025.343,1603.100,99276.000,198552.000
reversed,standard_mergesort,700,7,594.329,460.900,5888.000,11776.000
reversed,ternary_string_quicksort,700,7,419.429,290.000,5445.000,5990.000
reversed,lcp_string_mergesort,700,7,3868.543,3301.800,2819.000,5638.000
reversed,msd_radix_sort,700,7,909.643,848.000,0.000,3350.000
reversed,msd_radix_sort_with_switch,700,7,253.386,242.300,2539.000,4444.000
reversed,standard_quicksort,800,7,2865.757,2506.300,113504.000,227008.000
reversed,standard_mergesort,800,7,651.757,520.200,6670.000,13340.000
reversed,ternary_string_quicksort,800,7,368.586,324.200,6214.000,6829.000
reversed,lcp_string_mergesort,800,7,5445.314,4964.700,3133.000,6266.000
reversed,msd_radix_sort,800,7,1284.971,1240.300,0.000,3828.000
reversed,msd_radix_sort_with_switch,800,7,284.243,270.100,2898.000,5076.000
reversed,standard_quicksort,900,7,3251.914,2881.100,112825.000,225650.000
reversed,standard_mergesort,900,7,655.557,618.100,7495.000,14990.000
reversed,ternary_string_quicksort,900,7,518.257,372.800,7067.000,7763.000
reversed,lcp_string_mergesort,900,7,6110.271,5470.200,3496.000,6992.000
reversed,msd_radix_sort,900,7,1333.471,1050.100,0.000,4328.000
reversed,msd_radix_sort_with_switch,900,7,312.214,277.000,3280.000,5733.000
reversed,standard_quicksort,1000,7,2252.171,2034.200,116358.000,232716.000
reversed,standard_mergesort,1000,7,1164.514,1082.900,8194.000,16388.000
reversed,ternary_string_quicksort,1000,7,418.257,413.400,8039.000,8813.000
reversed,lcp_string_mergesort,1000,7,6759.900,6144.400,3816.000,7632.000
reversed,msd_radix_sort,1000,7,1523.043,1506.500,0.000,4800.000
reversed,msd_radix_sort_with_switch,1000,7,796.500,744.100,3649.000,6373.000
reversed,standard_quicksort,1100,7,2989.229,2637.200,132640.000,265280.000
reversed,standard_mergesort,1100,7,2201.271,1382.700,9333.000,18666.000
reversed,ternary_string_quicksort,1100,7,579.557,475.800,9056.000,9890.000
reversed,lcp_string_mergesort,1100,7,9254.029,8762.500,4321.000,8642.000
reversed,msd_radix_sort,1100,7,2647.943,2168.700,0.000,5278.000
reversed,msd_radix_sort_with_switch,1100,7,1304.414,1033.500,4035.000,7034.000
reversed,standard_quicksort,1200,7,2985.429,2894.600,155217.000,310434.000
reversed,standard_mergesort,1200,7,1430.071,1449.500,10428.000,20856.000
reversed,ternary_string_quicksort,1200,7,588.200,519.500,9966.000,10882.000
reversed,lcp_string_mergesort,1200,7,7618.729,7142.100,4755.000,9510.000
reversed,msd_radix_sort,1200,7,1857.471,1725.900,0.000,5754.000
reversed,msd_radix_sort_with_switch,1200,7,891.300,777.400,4399.000,7668.000
reversed,standard_quicksort,1300,7,2903.029,2721.300,173785.000,347570.000
reversed,standard_mergesort,1300,7,1379.700,1295.600,11377.000,22754.000
reversed,ternary_string_quicksort,1300,7,598.757,579.600,11001.000,12014.000
reversed,lcp_string_mergesort,1300,7,8868.257,8844.700,5161.000,10322.000
reversed,msd_radix_sort,1300,7,1997.129,1929.200,0.000,6254.000
reversed,msd_radix_sort_with_switch,1300,7,1022.529,912.800,4769.000,8313.000
reversed,standard_quicksort,1400,7,4366.386,4080.700,196221.000,392442.000
reversed,standard_mergesort,1400,7,1490.700,1367.600,12487.000,24974.000
reversed,ternary_string_quicksort,1400,7,562.900,497.800,11995.000,13072.000
reversed,lcp_string_mergesort,1400,7,9129.471,8942.100,5634.000,11268.000
reversed,msd_radix_sort,1400,7,2632.414,2436.100,0.000,6742.000
reversed,msd_radix_sort_with_switch,1400,7,1148.786,945.300,5144.000,8960.000
reversed,standard_quicksort,1500,7,5451.186,5510.900,219142.000,438284.000
reversed,standard_mergesort,1500,7,1471.643,1294.000,13286.000,26572.000
reversed,ternary_string_quicksort,1500,7,607.029,554.800,12937.000,14097.000
reversed,lcp_string_mergesort,1500,7,15731.086,15921.200,5949.000,11898.000
reversed,msd_radix_sort,1500,7,3920.829,3917.700,0.000,7214.000
reversed,msd_radix_sort_with_switch,1500,7,998.357,840.700,5505.000,9591.000
reversed,standard_quicksort,1600,7,7108.100,6845.600,230793.000,461586.000
reversed,standard_mergesort,1600,7,1518.629,1307.100,14206.000,28412.000
reversed,ternary_string_quicksort,1600,7,663.986,603.500,13948.000,15184.000
reversed,lcp_string_mergesort,1600,7,22273.929,21957.200,6347.000,12694.000
reversed,msd_radix_sort,1600,7,4777.729,4297.700,0.000,7706.000
reversed,msd_radix_sort_with_switch,1600,7,897.129,874.400,5901.000,10262.000
reversed,standard_quicksort,1700,7,4397.943,3946.600,233478.000,466956.000
reversed,standard_mergesort,1700,7,1458.386,1437.800,15141.000,30282.000
reversed,ternary_string_quicksort,1700,7,1137.700,639.900,15031.000,16344.000
reversed,lcp_string_mergesort,1700,7,28252.243,28559.300,6709.000,13418.000
reversed,msd_radix_sort,1700,7,3960.029,3640.500,0.000,8192.000
reversed,msd_radix_sort_with_switch,1700,7,980.471,1000.400,6251.000,10884.000
reversed,standard_quicksort,1800,7,7640.571,6933.900,232305.000,464610.000
